run,group,paper,unit,default_100,repro_100,viability_pass
no_rulepack,nat_protocols,s41596-025-01299-6,unit_007,83,8,True
no_rulepack,nat_protocols,s41596-025-01299-6,unit_002,50,31,True
no_rulepack,nat_protocols,s41596-025-01299-6,unit_004,44,31,True
no_rulepack,nat_protocols,s41596-025-01299-6,unit_005,44,20,True
no_rulepack,nat_protocols,s41596-025-01299-6,unit_008,50,24,True
no_rulepack,nat_protocols,s41596-023-00880-1,unit_009,58,18,True
no_rulepack,nat_protocols,s41596-023-00880-1,unit_007,75,15,True
no_rulepack,nat_protocols,s41596-023-00880-1,unit_006,50,31,True
no_rulepack,nat_protocols,s41596-023-00880-1,unit_002,58,31,True
no_rulepack,nat_protocols,s41596-023-00880-1,unit_010,67,15,True
no_rulepack,nat_protocols,s41596-023-00880-1,unit_004,75,23,True
no_rulepack,nat_protocols,s41596-023-00880-1,unit_005,67,17,True
no_rulepack,nat_protocols,s41596-023-00880-1,unit_008,50,23,True
with_rulepack,nat_siblings,s41592-021-01391-1,unit_001,67,21,True
with_rulepack,nat_siblings,s41592-021-01391-1,unit_007,50,17,True
with_rulepack,nat_siblings,s41592-021-01391-1,unit_006,50,31,True
with_rulepack,nat_siblings,s41592-021-01391-1,unit_002,50,23,True
with_rulepack,nat_siblings,s41592-021-01391-1,unit_004,58,13,True
with_rulepack,nat_siblings,s41592-021-01391-1,unit_003,83,8,True
with_rulepack,nat_siblings,s41592-021-01391-1,unit_005,83,8,True
with_rulepack,nat_siblings,s41592-021-01391-1,unit_008,50,22,True
with_rulepack,nat_siblings,s41586-021-03209-8,unit_001,67,27,True
with_rulepack,nat_siblings,s41586-021-03209-8,unit_007,67,24,True
with_rulepack,nat_siblings,s41586-021-03209-8,unit_006,83,8,True
with_rulepack,nat_siblings,s41586-021-03209-8,unit_002,50,32,True
with_rulepack,nat_siblings,s41586-021-03209-8,unit_004,58,12,True
with_rulepack,nat_siblings,s41586-021-03209-8,unit_005,51,29,True
with_rulepack,nat_siblings,s41586-021-03209-8,unit_008,58,31,True
with_rulepack,nat_siblings,s41587-023-01718-7,unit_009,83,8,True
with_rulepack,nat_siblings,s41587-023-01718-7,unit_001,83,8,True
with_rulepack,nat_siblings,s41587-023-01718-7,unit_007,83,8,True
with_rulepack,nat_siblings,s41587-023-01718-7,unit_006,83,8,True
with_rulepack,nat_siblings,s41587-023-01718-7,unit_002,42,17,True
with_rulepack,nat_siblings,s41587-023-01718-7,unit_010,83,8,True
with_rulepack,nat_siblings,s41587-023-01718-7,unit_003,83,8,True
with_rulepack,nat_siblings,s41587-023-01718-7,unit_005,83,8,True
with_rulepack,nat_siblings,s41587-023-01718-7,unit_008,83,8,True
with_rulepack,nat_siblings,s41592-025-02927-5,unit_001,50,27,True
with_rulepack,nat_siblings,s41592-025-02927-5,unit_007,50,18,True
with_rulepack,nat_siblings,s41592-025-02927-5,unit_006,83,8,True
with_rulepack,nat_siblings,s41592-025-02927-5,unit_002,58,8,True
with_rulepack,nat_siblings,s41592-025-02927-5,unit_004,75,15,True
with_rulepack,nat_siblings,s41592-025-02927-5,unit_005,75,28,True
with_rulepack,nat_siblings,s41592-025-02927-5,unit_008,83,8,True
with_rulepack,nat_siblings,s41586-019-1654-9,unit_009,39,22,True
with_rulepack,nat_siblings,s41586-019-1654-9,unit_001,50,28,True
with_rulepack,nat_siblings,s41586-019-1654-9,unit_007,67,17,True
